iter,parameters_1
1.0,9.999909525504336e-05
2.0,0.00020012533059343696
3.0,0.00030046066967770457
4.0,0.00040108448592945933
5.0,0.0005020732060074806
6.0,0.0006034999387338758
7.0,0.0007054343004710972
8.0,0.00080794224049896
9.0,0.0009110858663916588
10.0,0.0010149232111871243
11.0,0.001119508408010006
12.0,0.0012248913990333676
13.0,0.001331118168309331
14.0,0.0014382307417690754
15.0,0.0015462671872228384
16.0,0.001655261730775237
17.0,0.00176524487324059
18.0,0.0018762436229735613
19.0,0.0019882814958691597
20.0,0.0021013787481933832
21.0,0.0022155526094138622
22.0,0.002330817049369216
23.0,0.00244718324393034
24.0,0.0025646600406616926
25.0,0.0026832534931600094
26.0,0.0028029673267155886
27.0,0.0029238034039735794
28.0,0.003045761026442051
29.0,0.0031688378658145666
30.0,0.0032930299639701843
31.0,0.0034183315001428127
32.0,0.0035447352565824986
33.0,0.0036722328513860703
34.0,0.0038008142728358507
35.0,0.003930468577891588
36.0,0.004061183892190456
37.0,0.004192946944385767
38.0,0.004325744230300188
39.0,0.004459561314433813
40.0,0.004594382829964161
41.0,0.004730192944407463
42.0,0.004866975359618664
43.0,0.00500471331179142
44.0,0.005143389571458101
45.0,0.00528298644348979
46.0,0.005423486232757568
47.0,0.0055648707784712315
48.0,0.005707121919840574
49.0,0.005850220564752817
50.0,0.005994148552417755
51.0,0.006138887256383896
52.0,0.00628441758453846
53.0,0.006430720444768667
54.0,0.006577777210623026
55.0,0.006725568789988756
56.0,0.006874076556414366
57.0,0.007023281883448362
58.0,0.007173165678977966
59.0,0.007323708850890398
60.0,0.0074748932383954525
61.0,0.00762669974938035
62.0,0.007779110223054886
63.0,0.007932106032967567
64.0,0.00808566901832819
65.0,0.00823978055268526
66.0,0.008394422940909863
67.0,0.008549577556550503
68.0,0.008705226704478264
69.0,0.008861352689564228
70.0,0.009017937816679478
71.0,0.009174964390695095
72.0,0.009332414716482162
73.0,0.009490272030234337
74.0,0.0096485186368227
75.0,0.00980713777244091
76.0,0.009966112673282623
77.0,0.010125425644218922
78.0,0.010285060852766037
79.0,0.010445001535117626
80.0,0.01060523185878992
81.0,0.010765735059976578
82.0,0.010926494374871254
83.0,0.011087494902312756
84.0,0.011248720809817314
85.0,0.011410156264901161
86.0,0.011571785435080528
87.0,0.011733594350516796
88.0,0.011895567178726196
89.0,0.012057689018547535
90.0,0.012219944968819618
91.0,0.012382321059703827
92.0,0.012544802390038967
93.0,0.012707375921308994
