iter,parameters_1
1.0,-9.999849135056138e-05
2.0,-0.0001999040541704744
3.0,-0.00029965394060127437
4.0,-0.00039918493712320924
5.0,-0.0004984336555935442
6.0,-0.0005973367369733751
7.0,-0.0006958309095352888
8.0,-0.0007938533672131598
9.0,-0.0008913417696021497
10.0,-0.0009882345329970121
11.0,-0.001084471121430397
12.0,-0.00117999198846519
13.0,-0.0012747388100251555
14.0,-0.0013686546590179205
15.0,-0.0014616843545809388
16.0,-0.0015537742292508483
17.0,-0.0016448723617941141
18.0,-0.0017349288100376725
19.0,-0.0018238957272842526
20.0,-0.0019117271294817328
21.0,-0.001998379360884428
22.0,-0.002083810977637768
23.0,-0.0021679827477782965
24.0,-0.002250857651233673
25.0,-0.002332401229068637
26.0,-0.0024125813506543636
27.0,-0.002491367980837822
28.0,-0.0025687338784337044
29.0,-0.0026446538977324963
30.0,-0.002719105454161763
31.0,-0.0027920682914555073
32.0,-0.002863524481654167
33.0,-0.0029334581922739744
34.0,-0.0030018563847988844
35.0,-0.003068707650527358
36.0,-0.00313400337472558
37.0,-0.003197736805304885
38.0,-0.003259903285652399
39.0,-0.0033205002546310425
40.0,-0.003379527013748884
41.0,-0.00343698519282043
42.0,-0.0034928780514746904
43.0,-0.0035472107119858265
44.0,-0.003599989926442504
45.0,-0.0036512245424091816
46.0,-0.0037009245716035366
47.0,-0.003749102121219039
48.0,-0.003795770462602377
49.0,-0.0038409442640841007
50.0,-0.0038846400566399097
51.0,-0.003926875535398722
52.0,-0.003967669326812029
53.0,-0.0040070414543151855
54.0,-0.004045013803988695
55.0,-0.004081608261913061
56.0,-0.004116848576813936
57.0,-0.004150759428739548
58.0,-0.00418336596339941
59.0,-0.0042146947234869
60.0,-0.004244772717356682
61.0,-0.0042736283503472805
62.0,-0.004301290027797222
63.0,-0.004327787552028894
64.0,-0.004353150725364685
65.0,-0.004377410747110844
66.0,-0.0044005983509123325
67.0,-0.004422745667397976
68.0,-0.004443885292857885
69.0,-0.004464049357920885
70.0,-0.004483270924538374
71.0,-0.004501583520323038
72.0,-0.004519021138548851
73.0,-0.004535617306828499
74.0,-0.004551406484097242
75.0,-0.004566423129290342
76.0,-0.004580701235681772
77.0,-0.0045942761935293674
78.0,-0.004607182461768389
79.0,-0.004619454499334097
80.0,-0.004631127696484327
81.0,-0.004642236512154341
82.0,-0.004652816336601973
83.0,-0.004662901628762484
84.0,-0.004672527313232422
85.0,-0.004681727848947048
86.0,-0.004690538160502911
87.0,-0.004698992241173983
88.0,-0.004707125015556812
89.0,-0.004714970011264086
90.0,-0.004722561687231064
91.0,-0.00472993403673172
92.0,-0.004737120121717453
93.0,-0.004744153935462236
94.0,-0.004751068539917469
