Question,Number,Module,Training Time,Student Training Time
Poisson,EXP,PINN,376.7729549407959,0.0
Poisson,EXP,PINN_post_poisson,643.4898610115051,0.0
Poisson,EXP,PsiNN_poisson,639.1320240497589,0.0
