iter,loss,loss_f,loss_b
1,21.708751678466797,21.68021583557129,0.028536075726151466
2,21.696393966674805,21.675830841064453,0.020562931895256042
3,21.68529510498047,21.670074462890625,0.015221085399389267
4,21.674985885620117,21.66328239440918,0.011704408563673496
5,21.665191650390625,21.655750274658203,0.009442206472158432
6,21.655763626098633,21.64771842956543,0.008044345304369926
7,21.64663314819336,21.639392852783203,0.007240914739668369
8,21.637788772583008,21.630945205688477,0.006842690985649824
9,21.629234313964844,21.622528076171875,0.006706567481160164
10,21.620969772338867,21.614259719848633,0.006709439214318991
11,21.61296272277832,21.606225967407227,0.006736875046044588
12,21.605167388916016,21.598478317260742,0.006688769441097975
13,21.597503662109375,21.591007232666016,0.006496495567262173
14,21.589906692504883,21.583768844604492,0.006138591095805168
15,21.58232307434082,21.576679229736328,0.005643271375447512
16,21.574710845947266,21.56963348388672,0.005077038425952196
17,21.567049026489258,21.562524795532227,0.004524323623627424
18,21.559309005737305,21.55524444580078,0.004065008834004402
19,21.55145835876465,21.547700881958008,0.003756637219339609
20,21.543447494506836,21.53982162475586,0.00362609070725739
21,21.53522300720215,21.531551361083984,0.003671845654025674
22,21.5267333984375,21.522859573364258,0.003873451380059123
23,21.51793098449707,21.513729095458984,0.00420202175155282
24,21.50878143310547,21.504154205322266,0.00462690182030201
25,21.499231338500977,21.494112014770508,0.005118526518344879
26,21.489227294921875,21.48357582092285,0.005651095882058144
27,21.478694915771484,21.47248649597168,0.006207745522260666
28,21.467561721801758,21.46077537536621,0.006786394864320755
29,21.455753326416016,21.44835090637207,0.0074014812707901
30,21.443187713623047,21.435108184814453,0.008078692480921745
31,21.42978858947754,21.420944213867188,0.008844513446092606
32,21.41546630859375,21.405750274658203,0.009715904481709003
33,21.400117874145508,21.389421463012695,0.010695582255721092
34,21.383621215820312,21.37184715270996,0.011774932034313679
35,21.365861892700195,21.352920532226562,0.012942006811499596
36,21.346702575683594,21.3325138092041,0.014189358800649643
37,21.325998306274414,21.31048011779785,0.01551789790391922
38,21.3035888671875,21.286653518676758,0.016935905441641808
39,21.279296875,21.26084327697754,0.018453942611813545
40,21.25293731689453,21.232860565185547,0.02007698453962803
41,21.224313735961914,21.202518463134766,0.021795406937599182
42,21.193239212036133,21.169662475585938,0.023577194660902023
43,21.159534454345703,21.134170532226562,0.025363873690366745
44,21.12302589416504,21.0959529876709,0.027072621509432793
45,21.083555221557617,21.054950714111328,0.028604397550225258
46,21.04097557067871,21.011119842529297,0.029855700209736824
47,20.99515151977539,20.964420318603516,0.03073052689433098
48,20.94596290588379,20.914812088012695,0.03115147352218628
49,20.89327621459961,20.862207412719727,0.031069008633494377
50,20.83695411682129,20.806486129760742,0.030467091128230095
51,20.776811599731445,20.747447967529297,0.02936408296227455
