iter,loss,loss_f,loss_b
1,21.72270393371582,21.65333366394043,0.06937053054571152
2,21.709360122680664,21.6541748046875,0.055184897035360336
3,21.697784423828125,21.654085159301758,0.04369863495230675
4,21.68763542175293,21.65305519104004,0.03457947447896004
5,21.67853355407715,21.650983810424805,0.027549613267183304
6,21.670122146606445,21.64785385131836,0.022268202155828476
7,21.66210174560547,21.64371681213379,0.01838459074497223
8,21.654251098632812,21.638662338256836,0.015587971545755863
9,21.646421432495117,21.632795333862305,0.01362622156739235
10,21.638530731201172,21.626224517822266,0.012305752374231815
11,21.630525588989258,21.619041442871094,0.011483319103717804
12,21.622392654418945,21.611339569091797,0.011053734458982944
13,21.6141357421875,21.603199005126953,0.010937274433672428
14,21.60576057434082,21.59469223022461,0.011068947613239288
15,21.597278594970703,21.585887908935547,0.011390083469450474
16,21.58867835998535,21.57683563232422,0.01184315700083971
17,21.57994270324707,21.56757164001465,0.012370678596198559
18,21.571025848388672,21.558109283447266,0.01291745901107788
19,21.56187629699707,21.54844093322754,0.01343452651053667
20,21.552438735961914,21.538555145263672,0.013883963227272034
21,21.54265594482422,21.528411865234375,0.014243820682168007
22,21.532480239868164,21.517969131469727,0.014511737041175365
23,21.521879196166992,21.507173538208008,0.014706121757626534
24,21.510822296142578,21.49595832824707,0.0148645443841815
25,21.499296188354492,21.484256744384766,0.015039412304759026
26,21.487274169921875,21.471982955932617,0.015291687101125717
27,21.474746704101562,21.459062576293945,0.01568368263542652
28,21.461681365966797,21.445409774780273,0.016272086650133133
29,21.44803810119629,21.430936813354492,0.01710217073559761
30,21.433780670166016,21.415576934814453,0.01820424385368824
31,21.41884422302246,21.39925193786621,0.019593235105276108
32,21.40317153930664,21.381900787353516,0.021271074190735817
33,21.386690139770508,21.363460540771484,0.023230431601405144
34,21.369340896606445,21.343881607055664,0.025458596646785736
35,21.351043701171875,21.323102951049805,0.027940567582845688
36,21.331737518310547,21.301076889038086,0.030660860240459442
37,21.311349868774414,21.277746200561523,0.033603861927986145
38,21.28981590270996,21.253063201904297,0.036753155291080475
39,21.267070770263672,21.226980209350586,0.04009021818637848
40,21.243057250976562,21.199464797973633,0.04359269514679909
41,21.217729568481445,21.17049789428711,0.047232262790203094
42,21.19106101989746,21.14008903503418,0.05097200348973274
43,21.163036346435547,21.108272552490234,0.05476362630724907
44,21.133665084838867,21.075119018554688,0.05854525417089462
45,21.102962493896484,21.040721893310547,0.062241364270448685
46,21.07097053527832,21.005203247070312,0.06576724350452423
47,21.037750244140625,20.968711853027344,0.0690382868051529
48,21.00339698791504,20.931415557861328,0.0719812735915184
49,20.968048095703125,20.893505096435547,0.0745425596833229
50,20.931861877441406,20.85517120361328,0.07669003307819366
51,20.89502716064453,20.816617965698242,0.07840833067893982
52,20.85773468017578,20.778045654296875,0.07968956232070923
53,20.820194244384766,20.739669799804688,0.08052394539117813
54,20.78261375427246,20.701719284057617,0.08089540898799896
55,20.74521827697754,20.66443634033203,0.08078254759311676
56,20.708229064941406,20.628063201904297,0.08016504347324371
57,20.671865463256836,20.59282875061035,0.0790366679430008
58,20.636327743530273,20.558908462524414,0.07741961628198624
59,20.601787567138672,20.52641487121582,0.07537318766117096
60,20.5683536529541,20.495361328125,0.07299316674470901
61,20.53605842590332,20.46565818786621,0.07039935141801834
62,20.504840850830078,20.43712615966797,0.06771450489759445
63,20.474559783935547,20.40951156616211,0.06504764407873154
64,20.444976806640625,20.382490158081055,0.06248662993311882
65,20.415781021118164,20.35568618774414,0.06009405851364136
66,20.386554718017578,20.328655242919922,0.05789932608604431
67,20.3568058013916,20.300920486450195,0.055885057896375656
68,20.32598876953125,20.272010803222656,0.05397866666316986
69,20.293594360351562,20.241527557373047,0.05206666141748428
70,20.259187698364258,20.209152221679688,0.050034549087285995
71,20.222412109375,20.174596786499023,0.04781555384397507
72,20.182939529418945,20.13751220703125,0.045427460223436356
73,20.140409469604492,20.097427368164062,0.0429823137819767
74,20.094375610351562,20.053712844848633,0.040663041174411774
75,20.044252395629883,20.00557518005371,0.03867630288004875
76,19.98926544189453,19.952062606811523,0.03720278665423393
77,19.928443908691406,19.892078399658203,0.03636579588055611
78,19.860620498657227,19.82439422607422,0.036226656287908554
79,19.78447723388672,19.747676849365234,0.03680122643709183
80,19.698604583740234,19.6605224609375,0.03808235377073288
81,19.601511001586914,19.56145668029785,0.0400540865957737
82,19.491613388061523,19.44891929626465,0.04269426688551903
83,19.367238998413086,19.321266174316406,0.04597293213009834
84,19.2265625,19.176708221435547,0.04985497519373894
85,19.067642211914062,19.01333236694336,0.054309114813804626
86,18.888427734375,18.829097747802734,0.05933007225394249
87,18.686992645263672,18.622007369995117,0.06498446315526962
88,18.461833953857422,18.390390396118164,0.07144319266080856
89,18.212081909179688,18.133119583129883,0.07896137982606888
90,17.937597274780273,17.84980010986328,0.08779728412628174
91,17.638992309570312,17.54092788696289,0.09806494414806366
92,17.317508697509766,17.20794105529785,0.10956688970327377
93,16.974843978881836,16.853120803833008,0.12172312289476395
94,16.61300277709961,16.479293823242188,0.13370846211910248
95,16.23444366455078,16.089672088623047,0.14477121829986572
96,15.842435836791992,15.687932014465332,0.15450377762317657
97,15.441057205200195,15.278180122375488,0.16287750005722046
98,15.034489631652832,14.86440372467041,0.17008550465106964
99,14.626158714294434,14.449895858764648,0.17626331746578217
100,14.218615531921387,14.037408828735352,0.18120673298835754
101,13.813621520996094,13.629157066345215,0.18446439504623413
102,13.412063598632812,13.226466178894043,0.1855977326631546
103,13.014060020446777,12.82979965209961,0.18426083028316498
