iter,loss,loss_f,loss_b
1,21.879411697387695,21.732704162597656,0.14670762419700623
2,21.80335807800293,21.705297470092773,0.09805982559919357
3,21.739233016967773,21.680322647094727,0.0589110441505909
4,21.68794822692871,21.65797996520996,0.02996843121945858
5,21.64964485168457,21.638418197631836,0.011226298287510872
6,21.623506546020508,21.621627807617188,0.0018779070815071464
7,21.60774803161621,21.607439041137695,0.0003080903843510896
8,21.599781036376953,21.595500946044922,0.00427923072129488
9,21.596689224243164,21.585372924804688,0.011315613053739071
10,21.595779418945312,21.57662582397461,0.019153863191604614
11,21.594970703125,21.56890869140625,0.026061344891786575
12,21.592920303344727,21.561965942382812,0.030955301597714424
13,21.5889835357666,21.555620193481445,0.03336402401328087
14,21.583045959472656,21.54974365234375,0.033301424235105515
15,21.575368881225586,21.54425048828125,0.031119242310523987
16,21.566457748413086,21.53908348083496,0.027374543249607086
17,21.556909561157227,21.53418731689453,0.022722570225596428
18,21.547332763671875,21.529502868652344,0.017830252647399902
19,21.538238525390625,21.524938583374023,0.0133007587864995
20,21.529953002929688,21.520347595214844,0.009605265222489834
21,21.522523880004883,21.515499114990234,0.007024808321148157
22,21.515710830688477,21.510093688964844,0.005617174319922924
23,21.50901222229004,21.503782272338867,0.005229562055319548
24,21.501785278320312,21.4962215423584,0.005564219783991575
25,21.493406295776367,21.48712730407715,0.006278656423091888
26,21.483396530151367,21.476314544677734,0.007081861607730389
27,21.471511840820312,21.46371841430664,0.00779281510040164
28,21.45768928527832,21.449338912963867,0.008351101540029049
29,21.441926956176758,21.433135986328125,0.008790873922407627
30,21.424095153808594,21.414897918701172,0.009197506122291088
31,21.403804779052734,21.394140243530273,0.0096645038574934
32,21.380460739135742,21.37019920349121,0.01026212703436613
33,21.353532791137695,21.342512130737305,0.011021326296031475
34,21.322839736938477,21.3109130859375,0.011925831437110901
35,21.288537979125977,21.275636672973633,0.012901014648377895
36,21.250640869140625,21.236835479736328,0.013804531656205654
37,21.208410263061523,21.193952560424805,0.014458449557423592
38,21.160709381103516,21.145965576171875,0.014743111096322536
39,21.107025146484375,21.09234619140625,0.014679268933832645
40,21.047502517700195,21.033079147338867,0.014423615299165249
41,20.981285095214844,20.967103958129883,0.014180763624608517
42,20.90618324279785,20.892127990722656,0.014054639264941216
43,20.82086753845215,20.806921005249023,0.013946056365966797
44,20.72423553466797,20.710655212402344,0.013579760678112507
45,20.612504959106445,20.599782943725586,0.012721192091703415
46,20.482067108154297,20.47061538696289,0.011452069506049156
47,20.330730438232422,20.32063865661621,0.010092303156852722
48,20.153501510620117,20.144620895385742,0.008880127221345901
49,19.94641876220703,19.938596725463867,0.007822034880518913
50,19.704822540283203,19.697908401489258,0.006914314813911915
51,19.421926498413086,19.415529251098633,0.0063974508084356785
52,19.0931453704834,19.086557388305664,0.006587878335267305
53,18.71254539489746,18.704893112182617,0.007653150707483292
54,18.277341842651367,18.267602920532227,0.00973942968994379
55,17.783557891845703,17.77046012878418,0.013098406605422497
56,17.229883193969727,17.212059020996094,0.017824431881308556
57,16.61609649658203,16.592172622680664,0.023923978209495544
58,15.946706771850586,15.915054321289062,0.03165198490023613
59,15.229689598083496,15.188602447509766,0.041087035089731216
60,14.477808952331543,14.426097869873047,0.051710788160562515
61,13.709784507751465,13.646480560302734,0.06330353021621704
62,12.95002269744873,12.874926567077637,0.0750957652926445
63,12.227423667907715,12.142215728759766,0.08520817011594772
64,11.580470085144043,11.48676586151123,0.09370444715023041
65,11.049798965454102,10.95207691192627,0.0977221429347992
66,10.695124626159668,10.595076560974121,0.10004837810993195
67,10.363337516784668,10.266719818115234,0.09661737829446793
68,10.104410171508789,10.013293266296387,0.09111718833446503
69,10.000679016113281,9.918042182922363,0.08263713866472244
70,9.868639945983887,9.797233581542969,0.07140643894672394
71,9.720202445983887,9.660786628723145,0.059416141360998154
72,9.660876274108887,9.613130569458008,0.04774559289216995
73,9.56336784362793,9.526121139526367,0.03724626079201698
74,9.456780433654785,9.428324699401855,0.02845594845712185
75,9.43072509765625,9.409153938293457,0.021571343764662743
76,9.380463600158691,9.364167213439941,0.016296733170747757
77,9.34547233581543,9.332621574401855,0.012850550003349781
78,9.354334831237793,9.343576431274414,0.01075796876102686
79,9.3159761428833,9.307049751281738,0.008926153182983398
80,9.287287712097168,9.279674530029297,0.007613295689225197
81,9.241159439086914,9.234484672546387,0.006675201002508402
82,9.157873153686523,9.152422904968262,0.005450491327792406
83,9.084236145019531,9.080018043518066,0.004218429792672396
84,8.970314979553223,8.967055320739746,0.0032594348303973675
85,8.865166664123535,8.862807273864746,0.0023595138918608427
86,8.74841594696045,8.746853828430176,0.0015618718462064862
87,8.636813163757324,8.635725021362305,0.0010884669609367847
88,8.537062644958496,8.536162376403809,0.000900331768207252
89,8.445302963256836,8.444408416748047,0.0008943985449150205
90,8.376127243041992,8.375072479248047,0.001054689404554665
91,8.300986289978027,8.299652099609375,0.0013345340266823769
92,8.234917640686035,8.233232498168945,0.0016850351821631193
93,8.16378116607666,8.1616792678833,0.0021016017999500036
94,8.091507911682129,8.08889389038086,0.0026143500581383705
95,8.025226593017578,8.021932601928711,0.0032937994692474604
96,7.95522928237915,7.95100736618042,0.00422201631590724
97,7.8903374671936035,7.884869575500488,0.00546797551214695
98,7.818511009216309,7.811429023742676,0.007081868592649698
99,7.744288921356201,7.735238075256348,0.009050850756466389
100,7.669348239898682,7.658092498779297,0.011255868710577488
101,7.589240074157715,7.575754642486572,0.01348553691059351
102,7.509006977081299,7.493542194366455,0.01546463929116726
